# CPace v0.1.2 FuzzProtocolConsistency targeted rerun
host=iMacPro.local
target_tag=v0.1.2
target_commit=4e661bc1f925ebedf1f270668129d85bab73e468
worktree=/Users/josh/code/fuzz/cpace-v012-protocolconsistency-rerun-imacpro-20260510T234441Z/repo
started_utc=2026-05-10T23:44:41Z

checked_out_commit=4e661bc1f925ebedf1f270668129d85bab73e468
## HEAD (no branch)
go version go1.26.3 darwin/amd64
goos=darwin
goarch=amd64

command=FUZZ_RACE=0 GOMAXPROCS=4 go test -timeout=0 -fuzz=FuzzProtocolConsistency -fuzztime=4h .

fuzz: elapsed: 0s, gathering baseline coverage: 0/35 completed
fuzz: elapsed: 11m0s, execs: 31013318 (48181/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m3s, execs: 31145607 (44092/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m6s, execs: 31290201 (48215/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m9s, execs: 31430368 (46714/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m12s, execs: 31570341 (46635/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m15s, execs: 31717154 (48969/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m18s, execs: 31849275 (44042/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m21s, execs: 31992468 (47731/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m24s, execs: 32129483 (45669/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m27s, execs: 32271079 (47191/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m30s, execs: 32417820 (48892/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m33s, execs: 32551893 (44703/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m36s, execs: 32695982 (48047/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m39s, execs: 32835516 (46482/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m42s, execs: 32976952 (47177/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m45s, execs: 33124449 (49159/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m48s, execs: 33260941 (45503/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m51s, execs: 33401975 (47012/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m54s, execs: 33541071 (46365/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m57s, execs: 33685758 (48218/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m0s, execs: 33830459 (48243/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12m3s, execs: 33963724 (44421/sec), new interesting: 0 (total: 35)
